iter,version,params,episodes,mean_rewards,total_run_time,epsilon
204,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,109.51,9.847942352294922,9.381755897326649e-14
205,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,175.53,11.9706392288208,9.381755897326649e-14
206,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",7941,196.62,7.761460065841675,0.20600000000008745
207,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",9066,476.23,11.601011514663696,0.09350000000009547
208,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,17.59,0.36110639572143555,0.0
209,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,41.4,0.482759952545166,0.0
210,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,71.19,0.5482361316680908,0.0
211,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,22.0,0.44161057472229004,0.0
212,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,31.28,0.43472909927368164,0.0
213,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,31.72,0.44158077239990234,0.0
214,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,53.66,0.6049845218658447,0.0
215,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,60.12,0.5650103092193604,0.0
216,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,17.97,0.09552168846130371,0.0
217,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,22.21,0.09572386741638184,0.0
218,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,26.85,0.10762286186218262,0.0
219,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,20.69,0.10217595100402832,0.0
220,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,27.06,0.11210346221923828,0.0
221,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v1'}",100,22.57,0.09530448913574219,0.0
222,v0,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v0'}",100,22.03,0.095672607421875,0.0
223,v1,"{'discount_factor_g': 0.93, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.1, 'version': 'v1'}",100,40.29,0.1219167709350586,0.0
224,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v0'}",100000,47.3,47.13388466835022,1.916246048422115e-12
225,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.001, 'version': 'v1'}",100000,63.94,55.576892137527466,1.916246048422115e-12
226,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v0'}",76723,195.48,71.4806067943573,0.23278000000200827
227,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.01, 'version': 'v1'}",100000,262.91,149.30650901794434,1.916246048422115e-12
228,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",63032,195.02,59.04814147949219,0.3696900000021452
229,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",97619,476.32,189.38179206848145,0.023820000001915444
230,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",59397,195.2,53.361600160598755,0.40604000000218154
231,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",87513,475.35,153.74259686470032,0.12488000000190053
232,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,48.78,4.555957794189453,9.381755897326649e-14
233,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,70.41,5.363093137741089,9.381755897326649e-14
234,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,87.98,5.448348522186279,9.381755897326649e-14
235,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,63.92,5.6783998012542725,9.381755897326649e-14
236,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,152.9,9.931985139846802,9.381755897326649e-14
237,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,121.16,9.821453332901001,9.381755897326649e-14
238,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",8055,195.54,8.008459329605103,0.1946000000000887
239,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",10000,133.29,10.899252653121948,9.381755897326649e-14
240,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,28.72,0.4149298667907715,0.0
241,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,51.74,0.542844295501709,0.0
242,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,50.26,0.5518670082092285,0.0
243,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,38.02,0.43533825874328613,0.0
244,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,60.84,0.5972702503204346,0.0
245,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,59.93,0.60079026222229,0.0
246,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,83.52,0.7382779121398926,0.0
247,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,83.81,0.7339189052581787,0.0
248,v0,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,20.79,0.09359216690063477,0.0
249,v1,"{'discount_factor_g': 0.93, 'discretizer': 15, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,22.25,0.33100390434265137,0.0
