iter,version,params,episodes,mean_rewards,total_run_time,epsilon
516,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v0'}",63104,195.91,66.21257376670837,0.36897000000214447
517,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.05, 'version': 'v1'}",81054,480.39,134.72256755828857,0.18947000000196496
518,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v0'}",62818,195.52,66.48129463195801,0.37183000000214733
519,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 1e-05, 'learning_rate_a': 0.1, 'version': 'v1'}",80483,479.39,137.1918008327484,0.19518000000197067
520,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v0'}",10000,35.56,4.62736439704895,9.381755897326649e-14
521,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.001, 'version': 'v1'}",10000,71.5,6.973792791366577,9.381755897326649e-14
522,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v0'}",10000,133.24,8.284996032714844,9.381755897326649e-14
523,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.01, 'version': 'v1'}",10000,72.61,6.202308654785156,9.381755897326649e-14
524,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v0'}",10000,160.45,11.893929719924927,9.381755897326649e-14
525,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.05, 'version': 'v1'}",10000,145.62,12.888670444488525,9.381755897326649e-14
526,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v0'}",9071,205.01,10.578347206115723,0.09300000000009545
527,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.0001, 'learning_rate_a': 0.1, 'version': 'v1'}",10000,117.09,12.026039838790894,9.381755897326649e-14
528,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v0'}",1000,22.08,0.46323132514953613,0.0
529,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.001, 'version': 'v1'}",1000,12.6,0.37755298614501953,0.0
530,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v0'}",1000,55.72,0.6596643924713135,0.0
531,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.01, 'version': 'v1'}",1000,16.01,0.46895837783813477,0.0
532,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v0'}",1000,24.28,0.4802262783050537,0.0
533,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.05, 'version': 'v1'}",1000,27.66,0.4843273162841797,0.0
534,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v0'}",1000,87.06,0.9026696681976318,0.0
535,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.001, 'learning_rate_a': 0.1, 'version': 'v1'}",1000,89.45,0.8454318046569824,0.0
536,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v0'}",100,24.12,0.1407475471496582,0.0
537,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.001, 'version': 'v1'}",100,22.43,0.13295960426330566,0.0
538,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v0'}",100,24.77,0.14272856712341309,0.0
539,v1,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.01, 'version': 'v1'}",100,35.73,0.15944504737854004,0.0
540,v0,"{'discount_factor_g': 0.98, 'discretizer': 10, 'epsilon_decay_rate': 0.01, 'learning_rate_a': 0.05, 'version': 'v0'}",100,26.81,0.14761614799499512,0.0
